[00:01:32 -> 00:01:32]  It's coming back.
[02:13:44 -> 02:13:47]  Yeah.
[02:13:47 -> 02:13:48]  No hit,
[02:13:48 -> 02:13:49]  no hit.
[02:13:49 -> 02:13:50]  Okay.
[02:13:50 -> 02:13:51]  Yeah.
[02:13:51 -> 02:13:52]  I think that would have been a permadeath too.
[02:13:52 -> 02:13:57]  Holy shit.
[02:13:57 -> 02:13:58]  You should roll it anyways.
[02:13:58 -> 02:13:59]  Just want to see what,
[02:13:59 -> 02:14:00]  let's see what it is.
[02:14:00 -> 02:14:01]  Okay.
[02:14:01 -> 02:14:02]  Okay.
[02:14:02 -> 02:14:08]  Okay.
[02:14:08 -> 02:14:09]  Okay.
[02:14:09 -> 02:14:10]  Okay.
[02:14:10 -> 02:14:11]  Okay.
[02:14:11 -> 02:14:12]  Okay.
[02:14:12 -> 02:14:16]  Okay.
[02:14:16 -> 02:14:17]  Okay.
[02:14:17 -> 02:14:21]  That's a,
[02:14:21 -> 02:14:22]  that's a lot of,
[02:14:22 -> 02:14:23]  that's a lot of fives.
[02:14:23 -> 02:14:34]  Damn
[02:14:35 -> 02:14:42]  these bees of sweat going down Baradun's.
[02:16:16 -> 02:16:17]  all right.
[02:16:17 -> 02:16:18]  Um,
[02:16:18 -> 02:16:20]  I somehow still have my Phantom hex up,
[02:16:20 -> 02:16:22]  so I'm going to go for the attack.
[02:16:22 -> 02:16:38]  My triple attack 11 dirty 20,
[02:16:38 -> 02:16:39]  and then eight.
[02:16:39 -> 02:16:44]  Yeah.
[02:16:44 -> 02:16:46]  So I think only,
[02:16:46 -> 02:16:47]  Did we skip someone?
[02:16:47 -> 02:16:48]  Sorry.
[02:16:48 -> 02:16:58]  no no no you already went because uh that was the healing yourself touching yourself thing
[02:16:58 -> 02:17:12]  yeah you touch yourself remember okay cool uh i'm gonna cast my last bardic inspiration
[02:17:12 -> 02:19:20]  and three yeah 16 damage yeah and i'll stay i'll stay um i'll stay where i am rhythm game
[02:19:20 -> 02:20:02]  no go ahead sorry yeah yeah yeah i don't know if you wanted to use like your other stuff that you
[02:20:02 -> 02:20:26]  have matt you can yeah uh i was gonna say um just for matt's edification it's you don't only have
[02:20:26 -> 02:20:33]  to think of your turn as um in the action economy there's a lot of other things you can do like you
[02:20:33 -> 02:20:40]  can also use some of your you can give the help action yeah you can there's other actions you can
[02:20:40 -> 02:20:45]  take you know you can also do like skill checks if there's some things like you can you can ask
[02:20:45 -> 02:20:47]  bobby like do you notice anything
[02:20:47 -> 02:20:51]  do i notice anything and then he'll have you roll like a perception check and something
[02:20:51 -> 02:20:56]  sometimes they can help like if you want to identify like their weakness or something or
[02:20:56 -> 02:21:03]  if you want to learn something about them um yeah some interesting things and i i think we're gonna
[02:21:03 -> 02:21:09]  we're gonna have to like maybe we'll have to change up some of your cantrips so that you
[02:21:09 -> 02:21:22]  have some sort of damaging option at your i do yeah yeah
[02:21:22 -> 02:21:28]  what if there's like a crazy like prep guy there's so many things that when you wake up you have to go
[02:21:28 -> 02:22:37]  and do all these things but yeah yeah yeah the elixir right experimental yeah got someone yeah
[02:22:37 -> 02:23:38]  go ahead sorry i'm fine i haven't gotten hit somehow no i uh dnd shenaniganed it away
[02:24:21 -> 02:24:26]  we do that thing where you're like you you buff people with that like the attack roll bonus or
[02:24:26 -> 02:25:38]  whatever from your subclass oh it's aura okay okay yeah that thing is wild stab me stab me
[02:25:38 -> 02:25:45]  asking for it he's just leering at her the entire time
[02:25:45 -> 02:26:20]  i have i have a night i have a 19 ac from the defensive flourish because it's plus five
[02:26:20 -> 02:26:23]  yeah i'm updating it every time but it's it was a lot of fun so i'm gonna do that next time
[02:26:23 -> 02:26:53]  22 points of damage okay uh do i need to roll an 11 a con save for the okay oh i did um it doesn't
[02:26:53 -> 02:27:03]  matter i did yeah i did con it is a plus two anyways but okay i'll do it i i didn't get it
[02:27:03 -> 02:28:02]  i didn't get it i know the hex oh shit killer i'm struggling
[02:28:02 -> 02:28:41]  one shot one shot let's go god damn it nixon oh that's nice i'm still standing
[02:28:41 -> 02:29:18]  we we don't all right she's looking pretty fucked up right how fucked up is she looking like she's
[02:29:18 -> 02:29:25]  like a few feet away okay okay i'm gonna do uh two attacks first
[02:29:27 -> 02:29:30]  i'm gonna hold my bonus action depending on what happens in these two attacks
[02:29:30 -> 02:29:43]  oh i got a net 20 all right let's do this one i can't add anything to this um
[02:29:43 -> 02:29:59]  oh that's a really good roll 13 oh my god yes okay um i flip up i i uh i'm tossing up my
[02:29:59 -> 02:30:04]  the dagger in my hand and i as it's as it's like um as i toss it up
[02:30:04 -> 02:30:10]  i kind of jump up at the same time like an alley oop and i slam it into her eye
[02:30:10 -> 02:30:14]  right at the top and i'm kind of hanging like a halfling kind of like
[02:30:14 -> 02:30:19]  was one-handed from the eye socket and then i i slowly drop down
[02:30:19 -> 02:30:31]  did you guys see that
[02:30:31 -> 02:30:42]  yeah exactly i just passed it to myself and then ducked
[02:30:46 -> 02:31:00]  oh yeah wait we have an option oh i didn't even cross my mind so it's definitely lethal
[02:31:00 -> 02:31:53]  oh oh amazing oh amazing what was it oh
[02:31:53 -> 02:32:09]  here oh okay okay amazing she's not a very good bounty hunter she didn't get rid of this note
[02:32:13 -> 02:33:01]  oh okay uh i just want to say thanks you know nix i think we were all kind of beguiled by
[02:33:01 -> 02:33:08]  by her and i'm glad you have a very distrustful approach to everyone
[02:33:08 -> 02:33:20]  it's gonna keep us alive compliment sandwich
[02:33:20 -> 02:34:38]  yeah humans kind of suck
[02:34:43 -> 02:35:32]  okay admit that um we were taken in by this weary traveler
[02:35:32 -> 02:35:38]  let our guard down maybe you should give like a like a protocol here or something
[02:35:38 -> 02:35:46]  the baby the baby got me too i mean it looked pretty real
[02:35:46 -> 02:36:47]  yeah that's true that's true yep yeah din din nods in agreement and also
[02:36:47 -> 02:36:47]  pointedly looks like he's not a good bounty hunter he's not a good bounty hunter he's not a good
[02:36:47 -> 02:39:10]  vampire he's not a good player he's not a good
[02:39:10 -> 02:39:27]  it was very comfortable it was nice it was nice it was nice it was good
[02:39:27 -> 02:39:36]  just just for sleeping arrangements here
[02:39:36 -> 02:39:37]  so we are in the perquè
[02:39:37 -> 02:39:45]  um nicks uh do you like do you like sleep like like we do how does how does this work
[02:39:45 -> 02:39:55]  yeah do we need someone to like to keep watch over us or can you just
[02:39:55 -> 02:40:03]  yeah like how does that work
[02:40:03 -> 02:40:31]  is he is he like conscious is he conscious when he's like doing his oh so does that does that
[02:40:31 -> 02:40:38]  serve as as our lookout like going forward so that does that work okay so we don't have to say
[02:40:38 -> 02:41:04]  like okay this guy's gonna keep keep watching oh okay okay he has a 14 passive perception okay
[02:41:04 -> 02:41:29]  oh okay no that's perfect so then i don't we don't i don't have to worry about it we can just
[02:41:29 -> 02:41:37]  conk off whenever we go to sleep nicks is nicks is on it yeah okay
[02:41:38 -> 02:41:42]  uh oh yeah
[02:41:42 -> 02:41:46]  okay i called dibs on the carriage
[02:41:46 -> 02:43:06]  i'm a very small person so i don't i i can take up a little thing um yeah i think you can keep
[02:43:06 -> 02:43:18]  making elixirs like as long as you have the the mats you can yeah you can just start building it
[02:43:18 -> 02:45:14]  up oh that's so annoying um is that a permanent like creation what does that mean oh so like
[02:45:14 -> 02:45:27]  any number of these magic items exist like that wow there's no there's so much potential here it's
[02:45:27 -> 02:45:58]  kind of crazy yeah oh god okay that's awesome and i i do believe one of the changes they made
[02:45:58 -> 02:46:03]  in artifice or for the new version is that or for alchemists i don't know if it's artifice or
[02:46:03 -> 02:46:09]  alchemist but it's no it's no longer a an action to consume one of these elixirs it's a bonus
[02:46:09 -> 02:46:13]  action yeah that makes it a lot easier to use because i know that was a big pain point before
[02:46:18 -> 02:46:24]  um would it be fair i mean again this is more of a flavor thing and this might change the balance a
[02:46:24 -> 02:46:29]  little bit but would it be fair like to say that he could like like instead of instead of these
[02:46:29 -> 02:46:38]  instead of these are drinks these are kind of gaseous concoctions could he like kind of yeah yeah
[02:46:39 -> 02:46:46]  could he could he like theoretically could he theoretically throw throw one of these like at at us
[02:46:46 -> 02:46:49]  like oh my god okay
[02:46:53 -> 02:47:58]  yeah uh yeah yeah yeah that makes sense okay that's cool okay awesome
[02:47:59 -> 02:48:04]  um did uh did the loot produce any gold from the dead body
[02:48:14 -> 02:48:17]  yeah I never roll a d8 that's crazy
[02:48:20 -> 02:48:23]  I got a two you son of a bitch
[02:48:26 -> 02:48:50]  we have to bury
[02:48:50 -> 02:49:02]  oh okay okay okay that's that's a good point that's a good point
[02:49:30 -> 02:54:48]  that's fair what was that uh nope so eloquent yeah nice uh Matt by the way if you uh when you
[02:54:48 -> 02:54:53]  click on that long rest button that's how you that's how you actually reset everything on the
[02:54:53 -> 02:54:58]  character sheet do you see it yeah that will
[02:54:58 -> 02:55:02]  yeah I'll heal you to Max and it'll also reset your spell slots
[02:55:07 -> 02:55:19]  yeah yeah this is gonna I think you're gonna have to like I what I would do is I would add like all
[02:55:19 -> 02:55:26]  the different types of elixirs as temporary inventory items and then just change the the
[02:55:26 -> 02:55:32]  number of that during the day to help you keep track like so if you know that you have this many
[02:55:32 -> 02:55:36]  boldness or this many Resiliences or this many pots
[02:55:36 -> 02:55:37]  um
[02:55:38 -> 02:55:42]  and then that way at least you can like see it I don't know if there's an easier way to handle that
[02:55:42 -> 02:56:03]  in this thing yeah yeah you can you can use either like your your own notes or you can use something
[02:56:03 -> 02:56:09]  in D&D Beyond like there's a there's a whole notes tab there that you can add um you can also use it
[02:56:09 -> 02:56:21]  right yeah and sometimes that's nice because like some of the items you can you can like they
[02:56:21 -> 02:56:25]  actually impact your stats if you if you needed to um so it's kind of interesting
[02:56:26 -> 02:56:53]  um yeah I want to level up DM
[02:56:57 -> 02:57:07]  I shut up I was not
[02:57:18 -> 02:59:34]  that was meta commentary that was not in character yeah you're welcome everyone that was me
